Id,Title,Type,Release_Year,Genres,Production_Countries,IMDB_Score,IMDB_Popularity
tm16479,WhiteChristmas,MOVIE,1954,Romance,US,7.5,8.915
tm19608,TheBlazingSun,MOVIE,1954,Crime,EG,7.4,2.184
tm204541,DarkWaters,MOVIE,1956,Action,EG,6.7,0.849
tm135083,CairoStation,MOVIE,1958,Drama,EG,7.5,5.546
tm358653,Ujala,MOVIE,1959,Romance,IN,6.6,0.84
tm356209,Singapore,MOVIE,1960,Drama,IN,6.4,0.792
tm44204,TheGunsofNavarone,MOVIE,1961,Action,GB,7.5,13.844
tm27298,SaladintheVictorious,MOVIE,1963,Action,EG,7.6,4.156
tm67378,TheProfessionals,MOVIE,1966,Western,US,7.3,13.123
tm119281,BonnieandClyde,MOVIE,1967,Crime,US,7.7,15.687
tm120801,TheDirtyDozen,MOVIE,1967,War,GB,7.7,20.398
ts22164,MontyPython'sFlyingCircus,SHOW,1969,Comedy,GB,8.8,17.617
tm81728,TheLand,MOVIE,1969,Drama,EG,8.1,1.265
tm14873,DirtyHarry,MOVIE,1971,Thriller,US,7.7,12.817
ts45948,MontyPython'sFliegenderZirkus,SHOW,1972,Comedy,Country Unavailable,8.1,1.487
tm154986,Deliverance,MOVIE,1972,Drama,US,7.7,10.01
tm156453,FTA,MOVIE,1972,War,US,6.2,1.268
tm336403,KhoonKhoon,MOVIE,1973,Crime,IN,5.1,1.948
tm107372,Manoranjan,MOVIE,1974,Romance,IN,6.5,1.532
tm200475,"Beirut,OhBeirut",MOVIE,1975,Drama,LB,6.4,1.025
tm127384,MontyPythonandtheHolyGrail,MOVIE,1975,Fantasy,GB,8.2,15.461
tm403346,ChadiJawaniBudheNu,MOVIE,1976,Romance,IN,4.6,0.62
tm90896,TheReturnoftheProdigalSon,MOVIE,1976,Music,DZ,7.2,1.858
tm84618,Taxi Driver,MOVIE,1976,Drama,US,8.2,40.965
tm89386,Hitler:ACareer,MOVIE,1977,History,DE,7.5,4.305
tm16812,Bandie,MOVIE,1978,Drama,IN,4.4,1.166
tm100027,AlibabaAur40Chor,MOVIE,1979,Drama,SU,6.2,2.582
tm14350,Alexandria…Why?,MOVIE,1979,Drama,EG,7.2,1.37
tm69997,RichardPryor:LiveinConcert,MOVIE,1979,Comedy,US,8.1,4.718
tm70993,LifeofBrian,MOVIE,1979,Comedy,GB,8.0,17.77
tm259855,WeAreAllfortheFatherland,MOVIE,1979,Documentation,LB,6.1,0.6
tm94651,Dostana,MOVIE,1980,Drama,IN,2.1,3.98
tm98978,TheBlueLagoon,MOVIE,1980,Romance,US,5.8,50.324
tm259684,Whispers,MOVIE,1980,Documentation,CA,7.8,0.6
tm125985,MobileSuitGundamII:SoldiersofSorrow,MOVIE,1981,Animation,JP,7.2,13.125
tm130586,EndlessLove,MOVIE,1981,Romance,US,4.9,19.116
ts987,DangerMouse,SHOW,1981,Animation,GB,7.4,8.55
tm52274,TheLittleWars,MOVIE,1982,War,FR,6.3,1.956
tm52815,DiscoDancer,MOVIE,1982,Drama,IN,6.4,7.879
tm62924,MontyPythonLiveattheHollywoodBowl,MOVIE,1982,Comedy,GB,7.9,6.833
tm49037,MobileSuitGundamIII:EncountersinSpace,MOVIE,1982,Action,JP,7.6,12.741
tm47673,AnEgyptianStory,MOVIE,1982,Drama,EG,7.3,1.77
ts22082,KnightRider,SHOW,1982,Scifi,US,6.9,50.267
tm721687,Vaashi,MOVIE,1983,Drama,IN,6.7,3.79
ts25028,WheelofFortune,SHOW,1983,Family,US,6.7,5.935
tm54450,Christine,MOVIE,1983,Horror,US,6.7,23.418
tm419052,EkJaanHainHum,MOVIE,1983,Family,IN,6.3,0.986
tm172482,SohniMahiwal,MOVIE,1984,Romance,IN,6.1,6.052
tm342996,Duniya,MOVIE,1984,Action,IN,6.3,1.394
tm177480,PoliceAcademy,MOVIE,1984,Crime,US,6.7,25.533
ts21715,Thomas&Friends,SHOW,1984,Animation,GB,6.5,42.196
tm180542,OnceUponaTimeinAmerica,MOVIE,1984,Crime,US,8.3,28.937
tm2386,ANightmareonElmStreet,MOVIE,1984,Horror,GB,7.4,48.358
tm126769,WaitingfortheHearse,MOVIE,1985,Comedy,AR,8.0,7.81
tm117580,She'sGottaHaveIt,MOVIE,1986,Romance,US,6.7,7.416
tm371359,Jaal,MOVIE,1986,Action,IN,5.2,3.366
tm411457,PyarKeDoPal,MOVIE,1986,Drama,IN,6.1,1.756
tm258072,Adam:HisSongContinues,MOVIE,1986,Crime,US,7.0,1.603
tm20712,EddieMurphyRaw,MOVIE,1987,Comedy,US,7.6,7.992
tm24110,StrangeVoices,MOVIE,1987,Drama,US,6.3,2.76
tm22327,FullMetalJacket,MOVIE,1987,War,US,8.3,32.937
tm311264,MuqaddarKaFaisla,MOVIE,1987,Action,IN,4.8,2.236
tm21953,SamKinison:BreakingtheRules,MOVIE,1987,Comedy,US,7.2,1.843
ts2760,FiremanSam,SHOW,1987,Animation,GB,6.1,37.647
tm55091,QuietVictory:TheCharlieWedemeyerStory,MOVIE,1988,Drama,US,7.2,2.246
tm348735,AakhriAdaalat,MOVIE,1988,Action,IN,5.1,1.374
tm40103,MobileSuitGundam:Char'sCounterattack,MOVIE,1988,Scifi,JP,7.3,8.092
tm51083,AStoninginFulhamCounty,MOVIE,1988,Thriller,US,5.9,1.01
tm114356,TheGeorgeMcKennaStory,MOVIE,1988,Drama,US,6.0,2.296
ts63001,HighRisk,SHOW,1988,Comedy,US,3.8,1.4
tm38736,TooYoungTheHero,MOVIE,1988,Drama,US,6.7,1.485
tm137013,TheRyanWhiteStory,MOVIE,1989,Drama,US,7.2,1.981
tm142895,LeanOnMe,MOVIE,1989,Drama,US,7.4,19.449
tm133087,SteelMagnolias,MOVIE,1989,Comedy,US,7.3,11.69
ts20678,SavedbytheBell,SHOW,1989,Family,US,7.1,19.855
tm132164,BillHicks:SaneMan,MOVIE,1989,Comedy,US,6.5,3.377
tm446654,Mujrim,MOVIE,1989,Drama,IN,5.4,1.418
tm151332,"Alexandria,AgainandForever",MOVIE,1989,Drama,FR,6.5,0.817
ts20681,Seinfeld,SHOW,1989,Comedy,US,8.9,130.213
tm147710,NationalLampoon'sChristmasVacation,MOVIE,1989,Comedy,US,7.5,18.862
ts23753,MajorDad,SHOW,1989,Comedy,US,6.5,9.849
tm138875,WhenHarryMetSally...,MOVIE,1989,Comedy,US,7.7,15.123
tm133914,ParrotSketchNotIncluded:TwentyYearsofMontyPython,MOVIE,1989,Comedy,GB,8.1,1.801
tm147829,UnspeakableActs,MOVIE,1990,Drama,US,6.1,2.075
tm157603,Dil,MOVIE,1990,Drama,IN,6.6,3.992
tm159912,Agneepath,MOVIE,1990,Drama,IN,7.6,4.062
tm152839,TimAllen:MenArePigs,MOVIE,1990,Comedy,US,6.1,2.482
tm145608,Awakenings,MOVIE,1990,Drama,US,7.8,12.23
tm155787,GoodFellas,MOVIE,1990,Drama,US,8.7,50.387
tm157853,InDefenseofaMarriedMan,MOVIE,1990,Drama,US,5.6,2.444
tm6859,MyGirl,MOVIE,1991,Drama,US,6.9,20.545
tm424630,ATriumphoftheHeart:TheRickyBellStory,MOVIE,1991,Drama,US,7.2,1.533
tm7951,TimAllen:RewiresAmerica,MOVIE,1991,Comedy,US,6.0,2.297
tm7135,BillHicks:OneNightStand,MOVIE,1991,Comedy,US,6.5,1.08
tm7032,OutofLife,MOVIE,1991,Drama,BE,6.9,2.481
tm8687,SamKinison:FamilyEntertainmentHour,MOVIE,1991,Comedy,US,6.5,1.84
tm7073,KnightRider2000,MOVIE,1991,Action,US,4.5,7.945
tm334788,Yodha,MOVIE,1991,Action,IN,4.5,1.554
ts224786,Escalona,SHOW,1991,Drama,CO,6.5,7.352
ts251477,MyFirstErrand,SHOW,1991,Documentation,JP,6.5,7.73
tm7810,NightmareinColumbiaCounty,MOVIE,1991,Drama,US,5.5,2.713
tm449775,Shikari,MOVIE,1991,Drama,IN,5.8,1.323
tm21911,SamKinison:LiveinVegas,MOVIE,1991,Comedy,US,6.6,0.656
tm121879,ARiverRunsThroughIt,MOVIE,1992,Drama,US,7.2,19.58
tm128073,BillHicks:Relentless,MOVIE,1992,Comedy,GB,6.5,3.822
ts8570,Barney&Friends,SHOW,1992,Comedy,US,3.8,14.641
tm189171,WildTango,MOVIE,1993,Drama,ES,6.7,5.092
tm186589,Cliffhanger,MOVIE,1993,Action,IT,6.5,27.78
tm187187,LastActionHero,MOVIE,1993,Action,US,6.4,22.196
tm187791,IntheLineofFire,MOVIE,1993,Drama,US,7.2,19.8
tm190811,Geronimo:AnAmericanLegend,MOVIE,1993,Western,US,6.5,8.136
ts11397,AdventuresofSonictheHedgehog,SHOW,1993,Scifi,US,6.2,13.313
tm188606,Sankofa,MOVIE,1993,Drama,DE,7.0,1.858
tm188970,BillHicks:Revelations,MOVIE,1993,Comedy,GB,8.5,3.784
tm189764,MenaceIISociety,MOVIE,1993,Drama,US,7.5,13.928
tm184326,Damini,MOVIE,1993,Drama,IN,7.8,3.328
tm184224,Sinbad:AfrosandBellbottoms,MOVIE,1993,Comedy,US,7.8,3.793
tm256669,Gumrah,MOVIE,1993,Drama,IN,6.1,1.763
tm340430,GovindhaGovindha,MOVIE,1993,Drama,IN,6.6,1.248
ts20960,PowerRangers,SHOW,1993,Action,US,6.5,19.699
tm116488,NaturalBornKillers,MOVIE,1994,Thriller,US,7.3,21.933
tm1822,3NinjasKickBack,MOVIE,1994,Comedy,JP,4.5,12.603
tm117840,TheEmigrant,MOVIE,1994,Drama,FR,6.5,1.4
tm117488,TheNextKarateKid,MOVIE,1994,Action,US,4.5,20.185
tm122434,ForrestGump,MOVIE,1994,Drama,US,8.8,63.449
tm113576,LittleWomen,MOVIE,1994,Drama,US,7.3,13.683
ts21693,"Sister,Sister",SHOW,1994,Comedy,US,6.2,21.489
ts21684,HeartbreakHigh,SHOW,1994,Drama,AU,7.8,7.222
ts16919,AllThat,SHOW,1994,Comedy,US,7.5,6.688
tm118438,Anjaam,MOVIE,1994,Romance,IN,6.6,3.806
tm320211,ChildrenofGod,MOVIE,1994,Documentation,GB,6.3,0.685
tm113513,DumbandDumber,MOVIE,1994,Comedy,US,7.3,31.852
tm117873,HumAapkeHainKoun..!,MOVIE,1994,Drama,IN,7.5,6.314
ts22193,TheMagicSchoolBus,SHOW,1994,Animation,CA,7.8,16.83
tm116655,Léon:TheProfessional,MOVIE,1994,Crime,US,8.5,51.406
tm118238,WyattEarp,MOVIE,1994,Western,US,6.7,14.677
tm10811,Heavy,MOVIE,1995,Drama,US,6.8,3.308
tm9898,Muthu,MOVIE,1995,Comedy,IN,7.6,3.576
tm314602,Dushmani,MOVIE,1995,Romance,IN,5.0,2.045
tm10739,JohnnyMnemonic,MOVIE,1995,Action,CA,5.6,10.75
tm12876,Bombay,MOVIE,1995,Drama,IN,8.1,4.99
tm12499,TheNet,MOVIE,1995,Thriller,US,5.9,15.935
tm11556,TheQuickandtheDead,MOVIE,1995,Action,JP,6.5,13.056
